model,fold,accuracy,n,auc,log_loss
naive_majority,0,0.6009280742459396,431,0.5,0.6759676695653162
naive_majority,1,0.6612529002320185,431,0.5,0.6437042804622785
naive_majority,2,0.531322505800464,431,0.5,0.7140823820388938
naive_majority,3,0.6380510440835266,431,0.5,0.6562456512849508
naive_majority,4,0.5916473317865429,431,0.5,0.6775489654721526
persistence,0,0.5290023201856149,431,0.5094841519260123,6.507073947248158
persistence,1,0.5475638051044084,431,0.49253785147801005,6.250637574942702
persistence,2,0.4802784222737819,431,0.4785226339227809,7.180219424549672
persistence,3,0.5382830626450116,431,0.4981002331002331,6.378855761095364
persistence,4,0.46635730858468677,431,0.4478052584670232,7.3725467037786
logistic,0,0.6009280742459396,431,0.5399120050282841,1.0438852506818592
logistic,1,0.6566125290023201,431,0.49766882960826725,1.1929676789039112
logistic,2,0.5290023201856149,431,0.5194560940810238,0.7461183429660542
logistic,3,0.642691415313225,431,0.46475524475524477,0.6684562004795855
logistic,4,0.5893271461716937,431,0.5670677361853833,0.670902988611071
random_forest,0,0.6009280742459396,431,0.5335256352698212,0.6982693247194915
random_forest,1,0.6334106728538283,431,0.4400865176640231,0.695588444971178
random_forest,2,0.5336426914153132,431,0.5505426088460375,0.7199599785071988
random_forest,3,0.5545243619489559,431,0.5061072261072261,0.6834364729953524
random_forest,4,0.5916473317865429,431,0.471969696969697,0.6845936197327819
lstm,0,0.6009280742459396,431,0.49268205082158567,0.7153248654971089
lstm,1,0.5893271461716937,431,0.4280221100696948,0.7427309637933275
lstm,2,0.5081206496519721,431,0.49143931860434953,0.8227828919694495
lstm,3,0.6380510440835266,431,0.5006993006993007,0.6759452428299786
lstm,4,0.5939675174013921,431,0.5873885918003565,0.6627166187512911
transformer,0,0.6148491879350348,431,0.5504848702523122,1.087190044659016
transformer,1,0.4965197215777262,431,0.4258832011535689,1.3469109478201213
transformer,2,0.5197215777262181,431,0.5155432573825068,1.1062706375503195
transformer,3,0.5475638051044084,431,0.5732400932400932,0.6877077374277494
transformer,4,0.6032482598607889,431,0.5754679144385028,0.8947650706773289
