feature_set,model,fold,accuracy,n,auc,log_loss
macro_only,naive_majority,0,0.7314814814814815,108,0.5,0.6383090671736497
macro_only,naive_majority,1,0.5,108,0.5,0.7302200188393113
macro_only,naive_majority,2,0.6018518518518519,108,0.5,0.672487242908496
macro_only,persistence,0,0.5,108,0.35268441728502836,6.907755778974932
macro_only,persistence,1,0.39814814814814814,108,0.3981481481481481,8.314891011729701
macro_only,persistence,2,0.5,108,0.47048300536672627,6.907755778974665
macro_only,logistic,0,0.4351851851851852,108,0.6412047140986468,0.9724146633225635
macro_only,logistic,1,0.5,108,0.5912208504801097,1.0145183989771733
macro_only,logistic,2,0.42592592592592593,108,0.4107334525939177,0.9460888971642584
macro_only,random_forest,0,0.5833333333333334,108,0.6412047140986469,0.6586415521157977
macro_only,random_forest,1,0.5,108,0.4814814814814815,0.8741192212183978
macro_only,random_forest,2,0.5555555555555556,108,0.552772808586762,0.690236562996764
macro_plus_polymarket,naive_majority,0,0.7314814814814815,108,0.5,0.6383090671736497
macro_plus_polymarket,naive_majority,1,0.5,108,0.5,0.7302200188393113
macro_plus_polymarket,naive_majority,2,0.6018518518518519,108,0.5,0.672487242908496
macro_plus_polymarket,persistence,0,0.5,108,0.35268441728502836,6.907755778974932
macro_plus_polymarket,persistence,1,0.39814814814814814,108,0.3981481481481481,8.314891011729701
macro_plus_polymarket,persistence,2,0.5,108,0.47048300536672627,6.907755778974665
macro_plus_polymarket,logistic,0,0.4444444444444444,108,0.618507202095155,1.2847481098127402
macro_plus_polymarket,logistic,1,0.5,108,0.6145404663923183,0.9249806247323685
macro_plus_polymarket,logistic,2,0.37962962962962965,108,0.34955277280858676,1.1965219422736453
macro_plus_polymarket,random_forest,0,0.6759259259259259,108,0.6477520733304233,0.6388663468154399
macro_plus_polymarket,random_forest,1,0.5,108,0.4907407407407408,0.8372223698102528
macro_plus_polymarket,random_forest,2,0.4722222222222222,108,0.5434704830053667,0.7028492947061385
